cluster_id,cluster_name,prompt_index,image_prompt
0,Exposed Raw Materiality,1,"Brutalist architecture, exterior shot, exposed board-formed concrete walls, massive raw timber beams, dramatic natural light, overcast sky, forest setting, wide angle."
0,Exposed Raw Materiality,2,"Interior brutalist space, raw concrete columns and ceilings, untreated wood floor, large window framing a natural view, strong shadow play, minimalist brutalist furniture."
0,Exposed Raw Materiality,3,"Architectural close-up, brutalist facade, rough exposed concrete texture contrasted with natural wood panels, intricate shadows, tactile material expression."
1,Urban Play Habitats,1,"A colossal brutalist housing complex in a high-density urban environment, integrated concrete playgrounds on multiple levels, children playing, late afternoon sun casting long shadows, wide-angle, hyperrealistic."
1,Urban Play Habitats,2,"An imposing brutalist campus building with raw concrete facades, a sprawling ground-level concrete play landscape, interconnected ramps and platforms, sharp daylight, busy urban backdrop, photorealistic."
1,Urban Play Habitats,3,"A dense Hong Kong brutalist residential tower featuring multi-story communal terraces with integrated concrete play structures, visible raw concrete textures, children on slides, dramatic shadows, aerial perspective, architectural photography."
2,Art Gallery Pavilions,1,"Brutalist art pavilion, monumental mushroom columns, raw concrete panels, deep shadows, dramatic lighting."
2,Art Gallery Pavilions,2,"Exposed concrete gallery structure, clad in textured precast panels, strong lines, minimal landscaping, overcast sky."
2,Art Gallery Pavilions,3,"Interior of a brutalist museum, high ceilings, large concrete walls, art installation in focus, natural light through narrow slit windows."
3,Civic Exhibition Hubs,1,"A monumental brutalist cultural center, raw concrete, deep shadows, large exhibition halls, integrated urban plaza, high contrast, stark daylight."
3,Civic Exhibition Hubs,2,"A brutalist museum pavilion for the Venice Biennale, exposed aggregate concrete, clear circulation paths, minimal fenestration, severe geometry, overcast sky."
3,Civic Exhibition Hubs,3,"A civic brutalist complex in the style of Skopje, massive concrete blocks, integrated public courtyard, towering volumes, grey sky, stark, imposing."
4,Brutalist Legacy and Future,1,"A monumental brutalist civic hall at dusk, raw concrete texture, imposing geometric massing, dramatic shadows, wide-angle shot."
4,Brutalist Legacy and Future,2,"An aging brutalist urban complex, weathered concrete, intricate elevated walkways, hints of overgrown greenery, stark natural light, focusing on the interface between concrete and nature."
4,Brutalist Legacy and Future,3,"Interior of a vast brutalist central atrium, exposed aggregate walls, monumental concrete staircase, natural light filtering through high clerestory windows, brutalist design principles."
