title,form_text,cover_image_file,clean_text,cluster_id
Lex Pott creates transforming lamp for IKEA's latest PS collection,"Ahead of the launch, Dezeen visited Pott's Rotterdam studio to discuss how he developed the playful light that can easily transform from an uplight to a reading light.
The floor lamp that Pott eventually designed, after presenting around 70 ideas in response to what he describes as a ""very open brief"", can be reconfigured into several forms.
In its simplest format, it is an uplighter; however, by turning two 45-degree cut hinges, it can be transformed into a spotlight or a reading light. This hinge was patented by Pott and IKEA.
The lamp maintains the dimensions of the broomstick, topped by a trumpet-form shade and a wide cone-shaped base.
""Shape-wise, it's very geometric, subtle, minimised, almost like an archetype lamp,"" he continued. ""I made a few tactile decisions, where you just go from a tube into two cones and by only giving it a filet or a radius, it becomes nicer to touch.""
Pott explained that a core part of the brief was ""playful functionality"", and that the ability to transform the light fulfilled a key part of this.
""It has standard industrialised materials that I prefer to work with, tubes, cones, geometry, but still it has enough character on its own to exist,"" he continued.
The lamp forms part of the 10th PS Collection created by IKEA, with the first launched in 1995 under the banner of Democratic Design, or il design democratico, as it was called at the launch during Milan design week.
""History didn't really work out the way it was planned and it became an elite thing, but I always kept this dream of designing objects that my mother would understand, that my mother would see in a store,"" he continued.
""As a designer, the way I was trained, you would always avoid double functionalities, because most products that contain two functions, it's gimmicky, or doesn't make sense, or it was supposed to be one function and the other one was added later,"" said Pott.
Milan design week takes place from 20 to 26 April 2026. See our Milan design week 2026 guide on Dezeen Events Guide for information about the many other exhibitions, installations and talks that took place throughout the week.
Our most popular newsletter, formerly known as Dezeen Weekly, is sent every Tuesday and features a selection of the best reader comments and most talked-about stories. Plus occasional updates on Dezeen’s services and breaking news.",C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_001_ikea-ps-2026-lamp-lex-pott_dezeen_2364_hero_1.jpg,ahead of the launch dezeen visited pott s rotterdam studio to discuss how he developed the playful light that can easily transform from an uplight to a reading light the floor lamp that pott eventually designed after presenting around ideas in response to what he describes as a very open brief can be reconfigured into several forms in its simplest format it is an uplighter however by turning two -degree cut hinges it can be transformed into a spotlight or a reading light this hinge was patented by pott and ikea the lamp maintains the dimensions of the broomstick topped by a trumpet-form shade and a wide cone-shaped base shape-wise it s very geometric subtle minimised almost like an archetype lamp he continued i made a few tactile decisions where you just go from a tube into two cones and by only giving it a filet or a radius it becomes nicer to touch pott explained that a core part of the brief was playful functionality and that the ability to transform the light fulfilled a key part of this it has standard industrialised materials that i prefer to work with tubes cones geometry but still it has enough character on its own to exist he continued the lamp forms part of the th ps collection created by ikea with the first launched in under the banner of democratic design or il design democratico as it was called at the launch during milan design week history didn t really work out the way it was planned and it became an elite thing but i always kept this dream of designing objects that my mother would understand that my mother would see in a store he continued as a designer the way i was trained you would always avoid double functionalities because most products that contain two functions it s gimmicky or doesn t make sense or it was supposed to be one function and the other one was added later said pott,0
"IKEA launches inflatable chair ""trapped within a metal frame""","Developed by IKEA designer Mikael Axelsson, the PS 2026 Easy Chair forms part of t he latest PS collection, which includes a transforming lamp by Dutch designer Lex Pott .
According to Axelsson, investigating these previous designs drove the design of his current chair and its steel frame.
""So that's when I came up with the idea to have a metal structure, and that's the core concept. Then we blew up a balloon and trapped it within that structure.""
The chair consists of two inflatable cushions – a rectangular step and a tubular backrest – enclosed within a carbon steel frame.  Both cushions, which are inflated with a foot pump, are covered in green fabric.
According to Axelsson, along with the frame, another key reason to return to inflatables was that IKEA has solved the comfort issues.
""I think a lot of the playfulness is that it is air, but also the expression with the balloon, being trapped within this metal frame and punching out of it.""
Milan design week takes place from 20 to 26 April 2026. See our Milan design week 2026 guide on Dezeen Events Guide for information about the many other exhibitions, installations and talks that took place throughout the week.
Our most popular newsletter, formerly known as Dezeen Weekly, is sent every Tuesday and features a selection of the best reader comments and most talked-about stories. Plus occasional updates on Dezeen’s services and breaking news.",C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_002_ikea-inflatable-chair-milan-design-week-ps-collection_dezeen_2364_hero_2.jpg,developed by ikea designer mikael axelsson the ps easy chair forms part of t he latest ps collection which includes a transforming lamp by dutch designer lex pott according to axelsson investigating these previous designs drove the design of his current chair and its steel frame so that s when i came up with the idea to have a metal structure and that s the core concept then we blew up a balloon and trapped it within that structure the chair consists of two inflatable cushions a rectangular step and a tubular backrest enclosed within a carbon steel frame both cushions which are inflated with a foot pump are covered in green fabric according to axelsson along with the frame another key reason to return to inflatables was that ikea has solved the comfort issues i think a lot of the playfulness is that it is air but also the expression with the balloon being trapped within this metal frame and punching out of it,2
Neil Dusheiko Architects extends Cambridgeshire home to frame neighbouring church,"Neil Dusheiko Architects reconfigured both the main home and an adjacent coach house in its garden, with their layouts, openings and material palette all informed by the presence of the church.
""Church House, the Coach House and the Grade II*-listed church opposite now form a kind of spatial trinity, held in gentle dialogue across garden and sky.""
Due to its conservation area setting, the front elevation of the home remains largely untouched, with the extension tucked at the rear, containing a sunken dining area.
Pale brickwork was used for the extension and left exposed on the interior alongside a ceiling of oak beams, chosen to tie the new spaces in with both the brickwork of the existing home and the timber beams of the church hall.
While small in size, this extension allowed the home's original plan to be reconfigured, with views of the church immediately framed upon entering through a large, open kitchen space.
""The dining room is the defining moment,"" Dusheiko said. ""Large-format glazing frames the church tower directly in view, the floor drops to create a more intimate ceiling height, and the garden wraps around on two sides.""
Our most popular newsletter, formerly known as Dezeen Weekly, is sent every Tuesday and features a selection of the best reader comments and most talked-about stories. Plus occasional updates on Dezeen’s services and breaking news.
Ian Moore Architects transforms Sydney pub into house with ...
""They should have embraced what they avoided"" says commenter
Replus Bureau avoids ""nostalgic reconstruction"" in Ukrainian ...
Timber bird hides inform Irish cottage extension by ...",C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_003_neil-dusheiko-architects-church-house-extension-uk-sq2_dezeen_2364_col_0.jpg,neil dusheiko architects reconfigured both the main home and an adjacent coach house in its garden with their layouts openings and material palette all informed by the presence of the church church house the coach house and the grade ii -listed church opposite now form a kind of spatial trinity held in gentle dialogue across garden and sky due to its conservation area setting the front elevation of the home remains largely untouched with the extension tucked at the rear containing a sunken dining area pale brickwork was used for the extension and left exposed on the interior alongside a ceiling of oak beams chosen to tie the new spaces in with both the brickwork of the existing home and the timber beams of the church hall while small in size this extension allowed the home s original plan to be reconfigured with views of the church immediately framed upon entering through a large open kitchen space the dining room is the defining moment dusheiko said large-format glazing frames the church tower directly in view the floor drops to create a more intimate ceiling height and the garden wraps around on two sides,4
Gender pay gap more than doubles at Zaha Hadid Architects,"Sheppard Robson also reported a larger median pay gap of 11.6 per cent, compared to 10.2 per cent last year. However, the studio is performing better than the national average pay gap, which this year stands at 12.8 per cent.
Architecture and engineering firm HDR was also among the worst-performing studios, with a median wage disparity of 41.1 per cent and a bonus pay difference of 41 per cent.
Our most popular newsletter, formerly known as Dezeen Weekly, is sent every Tuesday and features a selection of the best reader comments and most talked-about stories. Plus occasional updates on Dezeen’s services and breaking news.",C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_004_gender-pay-gap-uk-architecture-studios_dezeen_2364_col_0.jpg,sheppard robson also reported a larger median pay gap of per cent compared to per cent last year however the studio is performing better than the national average pay gap which this year stands at per cent architecture and engineering firm hdr was also among the worst-performing studios with a median wage disparity of per cent and a bonus pay difference of per cent,4
STARTT opens up concealed ruins behind Pantheon in Rome,"""Connecting the [Pantheon's] rotunda and the apse of the Basilica of Neptune allows visitors to perceive how it once formed the head of an urban spine, in contrast to the modern narrative of the Pantheon as an isolated monument – the result of nineteenth-century demolitions,"" STARTT founder Simone Capra told Dezeen.
Folding metal doors conceal a storage area at the centre of the route below a large, illuminated archaeological plan, while a staircase and lift lead to a series of multimedia displays on the upper level.
Referencing the crumbling brick-and-stone ruins, STARTT clad the insertions in sheets of steel painted a mottled shade of bluish-black to resemble mill scale – a flaky layer that forms on steel as it cools.
These dark panels were used to clad new elements such as the lift and toilets, as well as a ramped path and datum along the historic brick walls. The panels are swapped for stone in some areas.
Another historic icon in Rome, the Colosseum, was also recently updated. Italian studio Stefano Boeri Interiors added a travertine plaza to its southern side, which recreates the bases of several of its original columns.
Our most popular newsletter, formerly known as Dezeen Weekly, is sent every Tuesday and features a selection of the best reader comments and most talked-about stories. Plus occasional updates on Dezeen’s services and breaking news.
StudioTamat transforms Rome ""villino"" with glass floors and ...
Luca Guadagnino transforms Roman palazzo ""steeped in ...",C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_005_beyond-the-pantheon-startt-architecture-rome-renovations-cultural-rome-italy_dezeen_2364_sq.jpg,connecting the pantheon s rotunda and the apse of the basilica of neptune allows visitors to perceive how it once formed the head of an urban spine in contrast to the modern narrative of the pantheon as an isolated monument the result of nineteenth-century demolitions startt founder simone capra told dezeen folding metal doors conceal a storage area at the centre of the route below a large illuminated archaeological plan while a staircase and lift lead to a series of multimedia displays on the upper level referencing the crumbling brick-and-stone ruins startt clad the insertions in sheets of steel painted a mottled shade of bluish-black to resemble mill scale a flaky layer that forms on steel as it cools these dark panels were used to clad new elements such as the lift and toilets as well as a ramped path and datum along the historic brick walls the panels are swapped for stone in some areas another historic icon in rome the colosseum was also recently updated italian studio stefano boeri interiors added a travertine plaza to its southern side which recreates the bases of several of its original columns,2
Art installations bring colour to Zumthor's austere LACMA addition,"Art has been added to The David Geffen Galleries at LACMA in Los Angeles, USA, with colourful works enlivening the massive concrete structure designed by Swiss architect Peter Zumthor .
Suspended from the ground over Wilshire Boulevard on 10 piers, the 347,500-square-foot (32,283 square metre) structure is nearing completion after being in the works for more than 20 years.
Along the undulating facade, two slabs of post-tensioned concrete sandwich a continuous wall of glass, and the top slab cantilevers over the sides as much as 40 feet (13 metres) out. SOM worked with Zumthor to ensure the structure would stand up in the seismic zone.
Exposed brass mullions give further rhythm to the window wall, and steep staircases lead up from the street.
Now, its rough concrete interiors have been shown full of the art for which it was made.
The structural piers form more internal spaces.
Here, the walls have been painted with chemical paint. New York Times critic Michael Kimmelman said this paint gave the walls the appearance of ""textured fabric"".
The range of contemporary to ancient art pieces gives the collection in these spaces a more residential feel. Some of the artwork sits directly against the glass walls, which can be covered by sputtered-chrome curtains.
For the more contained galleries, wall panels of different colours create spaces separate from the austerity of the circulation installations.
Overhead track lighting extends from the ceilings, and the floors have been overlaid with light wood planks.
The first round of installations in the new opening includes everything from Chinese fashion to Austrian expressionism and a solo exhibition for Bahamian conceptual artist Tavares Strachan.
Our most popular newsletter, formerly known as Dezeen Weekly, is sent every Tuesday and features a selection of the best reader comments and most talked-about stories. Plus occasional updates on Dezeen’s services and breaking news.
Photos reveal Peter Zumthor's LACMA museum ahead of opening",C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_006_lacma-zumthor-art-installations-_dezeen_2364_sq23_0.jpg,art has been added to the david geffen galleries at lacma in los angeles usa with colourful works enlivening the massive concrete structure designed by swiss architect peter zumthor suspended from the ground over wilshire boulevard on piers the -square-foot square metre structure is nearing completion after being in the works for more than years along the undulating facade two slabs of post-tensioned concrete sandwich a continuous wall of glass and the top slab cantilevers over the sides as much as feet metres out som worked with zumthor to ensure the structure would stand up in the seismic zone exposed brass mullions give further rhythm to the window wall and steep staircases lead up from the street now its rough concrete interiors have been shown full of the art for which it was made the structural piers form more internal spaces here the walls have been painted with chemical paint new york times critic michael kimmelman said this paint gave the walls the appearance of textured fabric the range of contemporary to ancient art pieces gives the collection in these spaces a more residential feel some of the artwork sits directly against the glass walls which can be covered by sputtered-chrome curtains for the more contained galleries wall panels of different colours create spaces separate from the austerity of the circulation installations overhead track lighting extends from the ceilings and the floors have been overlaid with light wood planks the first round of installations in the new opening includes everything from chinese fashion to austrian expressionism and a solo exhibition for bahamian conceptual artist tavares strachan,2
"Trump officials reveal designs of triumphal arch in Washington, DC","The documents contain site plans and renders of the project.
Plans and sections show a staircase travelling through the structure.
The CFA is due to consider the design at a meeting next week, based on the current plans.
Our most popular newsletter, formerly known as Dezeen Weekly, is sent every Tuesday and features a selection of the best reader comments and most talked-about stories. Plus occasional updates on Dezeen’s services and breaking news.
Gensler set to design Trump Tower Tbilisi as country's ...
Planning commission approves White House ballroom design",C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_007_triumphal-arch-donald-trump-washington-dc_dezeen_2364_hero.jpg,the documents contain site plans and renders of the project plans and sections show a staircase travelling through the structure the cfa is due to consider the design at a meeting next week based on the current plans,2
BIG reveals Nashville performing arts centre wrapped in aluminium pipes,"Danish architecture studio BIG has released designs for the riverside Tennessee Performing Arts Center in Nashville , USA, which will be covered with a swooping curtain of metal pipes.
A design team consisting of BIG , William Rawn Associates and Hastings Architecture recently released renderings of the Tennessee Performing Arts Center (TPAC).
The design's main feature is a massive metal curtain that, according to BIG, is a reference to a theatre curtain.
Consisting of bundled aluminium, the curtain will narrow toward the middle of each of the building's facades, revealing expanses of glass that open up the interior to the city, river and the grounds.
""The facade is composed of aluminum tubes bundled like organ pipes or steel chimes, undulating from vertical to horizontal to provide openings and canopies for the audience and performers passing through,"" said BIG founder Bjarke Ingels.
""The result is like a flowing public pavilion in the park that, as the new home for TPAC, provides the inclusive and inviting character that its program and performances deserve.""
In plan, the structure will be oriented around two large volumes, a grand hall and a dance/opera hall, angled slightly away from each other.
Inside the structure, between the two primary volumes, will be a grand lobby with an entrance level with the river. From here, a series of staircases and mezzanines will orient entry into the main performance spaces on either side.
""Designed to be welcoming on all sides, the center is accessible from above and below the bridge, making the atrium lobby a cascading public space for the daily life of the neighborhood,"" said Ingels.
The venue will have four performance spaces in total.
""This new center represents the future of the performing arts in Nashville and across our state,"" said TPAC president and CEO Jennifer Turner.
Recently, Goettsch Partners released designs for what would be the city's tallest skyscraper and S9 Architecture converted a former slaughterhouse into a ""modern industrial village"" .
Our most popular newsletter, formerly known as Dezeen Weekly, is sent every Tuesday and features a selection of the best reader comments and most talked-about stories. Plus occasional updates on Dezeen’s services and breaking news.
S9 Architecture converts former Nashville slaughterhouse ...",C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_008_big-tpac-nashville-metal-curtain_dezeen_2364_sq.jpg,danish architecture studio big has released designs for the riverside tennessee performing arts center in nashville usa which will be covered with a swooping curtain of metal pipes a design team consisting of big william rawn associates and hastings architecture recently released renderings of the tennessee performing arts center tpac the design s main feature is a massive metal curtain that according to big is a reference to a theatre curtain consisting of bundled aluminium the curtain will narrow toward the middle of each of the building s facades revealing expanses of glass that open up the interior to the city river and the grounds the facade is composed of aluminum tubes bundled like organ pipes or steel chimes undulating from vertical to horizontal to provide openings and canopies for the audience and performers passing through said big founder bjarke ingels the result is like a flowing public pavilion in the park that as the new home for tpac provides the inclusive and inviting character that its program and performances deserve in plan the structure will be oriented around two large volumes a grand hall and a dance opera hall angled slightly away from each other inside the structure between the two primary volumes will be a grand lobby with an entrance level with the river from here a series of staircases and mezzanines will orient entry into the main performance spaces on either side designed to be welcoming on all sides the center is accessible from above and below the bridge making the atrium lobby a cascading public space for the daily life of the neighborhood said ingels the venue will have four performance spaces in total this new center represents the future of the performing arts in nashville and across our state said tpac president and ceo jennifer turner recently goettsch partners released designs for what would be the city s tallest skyscraper and s architecture converted a former slaughterhouse into a modern industrial village,4
Gensler set to design Trump Tower Tbilisi as country's tallest building,"The Trump Organization has announced plans to build a 70-storey skyscraper in Tbilisi , Georgia, which would be the tallest building in the country.
Planned in collaboration with Biograpi Living , Archi Group , The Sapir Organization , Blox Group and Finvest Georgia , the skyscraper is set to be designed by US architecture studio Gensler .
It is planned as the centrepiece of a wider development containing high-end apartments and shops alongside Central Park in northwestern Tbilisi.
""The Trump name is synonymous with some of the most luxurious real estate developments in the world, and Trump Tower Tbilisi stands as a continuation of that legacy,"" said Trump Organization executive vice president Eric Trump.
According to the organisation, Trump Tower Tbilisi would become the country's tallest tower. It would overtake the Alliance Centropolis Tower C in Batumi, which, at 210 metres, is the country's current tallest building.
Latest Trump Tower
Trump Tower Tbilisi will be the latest Trump Tower. The first to carry the name opened in New York in 1983. The New York Trump Tower is 202 metres high and was designed by Der Scutt.
Also in New York, Trump World Tower is a 262-meter-high skyscraper designed by Costas Kondylis. In Chicago, Trump International Hotel and Tower Chicago, which was designed by Adrian Smith, opened in 2009.
International developments that carry the name include Trump Towers Istanbul by Brigitte Weber Architects and Trump Ocean Tower in Panama, designed by Arias Serna Saravia.
Our most popular newsletter, formerly known as Dezeen Weekly, is sent every Tuesday and features a selection of the best reader comments and most talked-about stories. Plus occasional updates on Dezeen’s services and breaking news.
""The only thing these towers are missing are feather boas"" ...
Vancouver's first supertall skyscraper informed by ""ancient ...",C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_009_trump-tower-tbilisi-gensler-georgia-tallest-building_dezeen_2364_col_1.jpg,the trump organization has announced plans to build a -storey skyscraper in tbilisi georgia which would be the tallest building in the country planned in collaboration with biograpi living archi group the sapir organization blox group and finvest georgia the skyscraper is set to be designed by us architecture studio gensler it is planned as the centrepiece of a wider development containing high-end apartments and shops alongside central park in northwestern tbilisi the trump name is synonymous with some of the most luxurious real estate developments in the world and trump tower tbilisi stands as a continuation of that legacy said trump organization executive vice president eric trump according to the organisation trump tower tbilisi would become the country s tallest tower it would overtake the alliance centropolis tower c in batumi which at metres is the country s current tallest building latest trump tower trump tower tbilisi will be the latest trump tower the first to carry the name opened in new york in the new york trump tower is metres high and was designed by der scutt also in new york trump world tower is a -meter-high skyscraper designed by costas kondylis in chicago trump international hotel and tower chicago which was designed by adrian smith opened in international developments that carry the name include trump towers istanbul by brigitte weber architects and trump ocean tower in panama designed by arias serna saravia,3
Delavegacanolasso finishes home in Madrid with tactile material palette,"Hand-fired clay tiles , exposed timber and plaster walls bring ""essential simplicity"" to Rosa María House, a residence near Madrid designed by Spanish architecture studio Delavegacanolasso .
Organised around two internal courtyards, the 320-square-metre home is nestled between a wooded area and a large lawn that informed Delavegacanolasso 's use of a pared-back, natural material palette.
A path shaded by a long white wall forms what De la Vega called a ""ceremonial approach"" into the home, passing beneath a porch sheltered by wooden slats to reach a central corridor.
This corridor is flanked by two patio courtyards wrapped by walls of full-height glazing and sliding doors, around which the roof geometry has been designed to control the entry of light.
""The roof is the project's defining gesture. From a simple, well-oriented plan, its geometry folds to generate two patios and a generous porch, shaping how light enters the house – when and how it should,"" said De la Vega.
The largest courtyard at the home's centre features a paved patio acting as an extension to the dining area, while a smaller courtyard to the north is finished with pebbles and plants.
These floor tiles are at the centre of a deliberately simple and rustic material palette, alongside exposed plywood carpentry, pine plank ceilings, a white-painted steel framework and plastered walls.
This is mirrored in the home's exterior, which features pale cream rendered walls and pale terracotta roof tiles, typical of many of the more rural homes in the area.
""The elements in contact with the ground – floors and walls – are crafted and tactile: white plaster, pine wood, and handmade Moroccan terracotta tiles, each irregular and full of character,"" De la Vega explained.
""In contrast, the roof structure is light, precise, and prefabricated - designed for efficiency and clarity. This dialogue between the handcrafted and the technical reinforces the house's serene yet dynamic character,"" he added.
Rosa María House's bedrooms are positioned at the eastern edge of the home to take advantage of the morning sun, while facing south, the living area opens onto a sheltered terrace through sliding glass doors.
A lightweight, suspended steel staircase leads up to a study area on the home's upper level, which faces east through a window in a projecting, mono-pitched section of roof.
Delavegacanolasso was founded in 2017 by De la Vega alongside Pilar Cano-Lasso. Previous projects by the studio include a prefabricated steel-framed cabin and a mirrored extension for a hidden house in Madrid .
Our most popular newsletter, formerly known as Dezeen Weekly, is sent every Tuesday and features a selection of the best reader comments and most talked-about stories. Plus occasional updates on Dezeen’s services and breaking news.",C:\Users\LZT\Downloads\brutalism_dataset_200\images\D_010_rosa-maria-house-delavegacanolassorosa-maria-house-delavegacanolasso-madrid-spain-architecture_dezeen_2364_sq.jpg,hand-fired clay tiles exposed timber and plaster walls bring essential simplicity to rosa mar a house a residence near madrid designed by spanish architecture studio delavegacanolasso organised around two internal courtyards the -square-metre home is nestled between a wooded area and a large lawn that informed delavegacanolasso s use of a pared-back natural material palette a path shaded by a long white wall forms what de la vega called a ceremonial approach into the home passing beneath a porch sheltered by wooden slats to reach a central corridor this corridor is flanked by two patio courtyards wrapped by walls of full-height glazing and sliding doors around which the roof geometry has been designed to control the entry of light the roof is the project s defining gesture from a simple well-oriented plan its geometry folds to generate two patios and a generous porch shaping how light enters the house when and how it should said de la vega the largest courtyard at the home s centre features a paved patio acting as an extension to the dining area while a smaller courtyard to the north is finished with pebbles and plants these floor tiles are at the centre of a deliberately simple and rustic material palette alongside exposed plywood carpentry pine plank ceilings a white-painted steel framework and plastered walls this is mirrored in the home s exterior which features pale cream rendered walls and pale terracotta roof tiles typical of many of the more rural homes in the area the elements in contact with the ground floors and walls are crafted and tactile white plaster pine wood and handmade moroccan terracotta tiles each irregular and full of character de la vega explained in contrast the roof structure is light precise and prefabricated - designed for efficiency and clarity this dialogue between the handcrafted and the technical reinforces the house s serene yet dynamic character he added rosa mar a house s bedrooms are positioned at the eastern edge of the home to take advantage of the morning sun while facing south the living area opens onto a sheltered terrace through sliding glass doors a lightweight suspended steel staircase leads up to a study area on the home s upper level which faces east through a window in a projecting mono-pitched section of roof delavegacanolasso was founded in by de la vega alongside pilar cano-lasso previous projects by the studio include a prefabricated steel-framed cabin and a mirrored extension for a hidden house in madrid,0
